ID,TEMP,REL HUMIDITY,DEW POINT,CO2,CH4,SO2,NH3,O3,O2,PM 2_5,PM_10,Avg_AQI
4887,27.82,72.81,19.09,0.1778,1.2469,0.68,6.92,1.1702,0.0269,0.4264,216,37.64091111
4888,27.83,72.81,19.1,0.1786,1.2471,0.73,6.96,1.1717,0.027,0.4254,216,37.64331111
4889,27.82,72.81,19.09,0.1778,1.2476,0.74,6.81,1.1725,0.0269,0.4287,216,37.6415
4890,27.82,72.84,19.1,0.1756,1.2346,0.73,6.78,1.1697,0.0267,0.4242,216,37.64342222
4891,27.82,72.84,19.1,0.1774,1.2885,0.73,7,1.1662,0.0269,0.4272,217,37.76068889
4892,27.83,72.84,19.11,0.1785,1.1785,0.69,6.94,1.1667,0.0269,0.4265,217,37.75078889
4893,27.83,72.87,19.11,0.1784,1.2476,0.74,7.07,1.1675,0.027,0.4268,218,37.87303333
4894,27.82,72.87,19.1,0.1787,1.248,0.69,6.81,1.1689,0.0269,0.425,219,37.98194444
4895,27.83,72.87,19.11,0.1753,1.2473,0.76,6.75,1.1694,0.027,0.4249,219,37.98376667
4896,27.82,72.87,19.1,0.1795,1.2459,0.68,6.48,1.1701,0.027,0.4251,220,38.09306667
4897,27.84,72.84,19.11,0.1783,1.2485,0.65,6.78,1.1708,0.027,0.4272,221,38.20464444
4898,27.82,72.87,19.1,0.1782,1.2473,0.66,6.86,1.1708,0.0269,0.4245,221,38.20418889
4899,27.83,72.9,19.12,0.1769,1.2275,0.78,6.83,1.171,0.0269,0.4288,222,38.32012222
4900,27.82,72.9,19.11,0.1765,1.2464,0.64,6.95,1.1707,0.027,0.4261,222,38.31963333
4901,27.78,72.92,19.08,0.1785,1.2487,0.75,6.89,1.1694,0.027,0.4249,222,38.31427778
4902,27.81,72.96,19.11,0.1773,1.2474,0.71,7.14,1.1703,0.027,0.4256,223,38.4364
4903,27.82,72.96,19.12,0.1786,1.2468,0.77,6.91,1.1663,0.027,0.424,222,38.32696667
4904,27.83,72.96,19.13,0.1787,1.248,0.69,6.89,1.165,0.027,0.4245,222,38.32924444
